,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,評價數量,五星,四星,三星,二星,一星,評分,產品銷售金額 
68,8,79,0,FALSE,FALSE,143,TRUE,FALSE,FALSE,24,60,57,3,0,0,0,4.95,11297
69,113197,91,0,FALSE,FALSE,74,FALSE,FALSE,TRUE,42,19,18,1,0,0,0,4.947368421,6734
70,124,100,0,FALSE,FALSE,1902,TRUE,FALSE,FALSE,438,957,936,15,4,1,1,4.968652038,190200
71,5092,113,5,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
72,1,352,4,FALSE,FALSE,7,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,5,2464
73,1974,189,0,FALSE,FALSE,25,FALSE,FALSE,TRUE,63,5,5,0,0,0,0,5,4725
74,553,114,0,FALSE,FALSE,765,TRUE,FALSE,FALSE,211,252,245,6,1,0,1,4.95256917,87210
75,11735,101,0,FALSE,FALSE,126,FALSE,FALSE,TRUE,47,34,26,2,3,1,2,4.441176471,12726
76,2558,115,6.4,FALSE,FALSE,1361,TRUE,FALSE,FALSE,655,599,538,44,10,2,5,4.849749583,156515
77,124381,101,0,FALSE,FALSE,199,FALSE,FALSE,TRUE,88,42,38,3,0,0,1,4.833333333,20099
78,41,169,0,FALSE,FALSE,334,FALSE,FALSE,FALSE,230,162,153,7,2,0,0,4.932098765,56446
79,8,159,0,FALSE,FALSE,58,FALSE,FALSE,FALSE,10,20,20,0,0,0,0,5,9222
80,42531,35,3.5,FALSE,FALSE,1033,FALSE,FALSE,FALSE,60,166,163,1,2,0,0,4.969879518,36155
81,1,168,8.4,TRUE,FALSE,17,TRUE,FALSE,FALSE,9,9,9,0,0,0,0,5,2856
82,673,139,5.8,TRUE,FALSE,739,FALSE,FALSE,TRUE,1220,189,166,13,6,0,4,4.783068783,102721
83,6795,164,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,8,1,1,0,0,0,0,5,328
84,27711,215,0,FALSE,FALSE,267,FALSE,FALSE,TRUE,171,82,74,3,2,1,2,4.780487805,57405
85,2840,85,4,FALSE,FALSE,11885,TRUE,FALSE,FALSE,2181,4300,3987,171,38,8,11,4.925213675,1010225
86,16984,105,0,FALSE,FALSE,18,FALSE,FALSE,TRUE,13,4,3,1,0,0,0,4.75,1890
87,5,129,0,FALSE,FALSE,48,FALSE,FALSE,FALSE,19,17,17,0,0,0,0,5,6192
88,12798,115,0,FALSE,FALSE,71,FALSE,FALSE,TRUE,32,16,13,3,0,0,0,4.8125,8165
89,206993,196,0,FALSE,FALSE,27,FALSE,FALSE,TRUE,35,10,8,1,0,0,1,4.5,5292
90,8893,159,5,FALSE,FALSE,31,FALSE,FALSE,TRUE,32,15,13,1,0,0,1,4.666666667,4929
91,55182,216,0,FALSE,FALSE,109,FALSE,FALSE,TRUE,133,32,27,0,4,1,0,4.65625,23544
92,11427,64,7,FALSE,FALSE,554,FALSE,FALSE,TRUE,157,228,216,9,3,0,0,4.934210526,35456
93,10787,131,0,FALSE,FALSE,165,FALSE,FALSE,TRUE,70,27,22,2,1,1,1,4.592592593,21615
94,607,484,0,FALSE,FALSE,2,FALSE,FALSE,TRUE,28,1,1,0,0,0,0,5,968
95,226,189,0,FALSE,FALSE,2474,TRUE,FALSE,FALSE,1367,1203,1130,58,10,4,0,4.925124792,467586
96,20456,82,4.5,FALSE,FALSE,664,FALSE,FALSE,TRUE,97,153,145,7,1,0,0,4.941176471,54448
97,52,79,0,FALSE,FALSE,334,TRUE,FALSE,TRUE,102,134,126,8,0,0,0,4.940298507,26386
98,141,149,4.5,FALSE,FALSE,2803,TRUE,FALSE,FALSE,1027,1411,1316,43,13,0,3,4.941090909,417647
99,11948,169,6.5,FALSE,FALSE,21,FALSE,FALSE,FALSE,21,8,8,0,0,0,0,5,3549
100,51,129,1.9,FALSE,FALSE,36,TRUE,FALSE,FALSE,5,15,15,0,0,0,0,5,4644
101,45479,175,0,FALSE,FALSE,1,TRUE,FALSE,FALSE,4,1,1,0,0,0,0,5,175
102,14062,93,6.2,FALSE,FALSE,867,FALSE,FALSE,FALSE,595,276,257,15,4,0,0,4.916666667,80631
103,504,99,5.4,FALSE,FALSE,258,TRUE,FALSE,FALSE,192,92,89,1,2,0,0,4.945652174,25542
104,129,60,0,FALSE,FALSE,585,TRUE,FALSE,FALSE,137,256,244,7,4,0,1,4.941176471,35100
105,1451,511,0,FALSE,FALSE,1,FALSE,FALSE,TRUE,7,1,1,0,0,0,0,5,511
106,49,69,7,FALSE,FALSE,850,TRUE,FALSE,FALSE,238,353,346,6,0,0,1,4.971671388,58650
107,23607,29,8.1,FALSE,FALSE,1133,FALSE,FALSE,TRUE,143,270,254,9,4,1,2,4.896296296,32857
108,6,250,0,FALSE,FALSE,54,FALSE,FALSE,FALSE,40,32,30,2,0,0,0,4.9375,13500
109,64,99,1.7,FALSE,FALSE,22,TRUE,FALSE,FALSE,7,11,9,2,0,0,0,4.818181818,2178
110,105,59,8.6,TRUE,FALSE,31,TRUE,FALSE,FALSE,4,11,10,1,0,0,0,4.909090909,1829
111,9706,56,0,FALSE,FALSE,88,FALSE,FALSE,TRUE,29,29,28,1,0,0,0,4.965517241,4928
112,7995,327,5,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0
113,1788,432,0,FALSE,FALSE,89,FALSE,FALSE,TRUE,60,28,25,2,1,0,0,4.857142857,38448
114,9986,170,7,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0
115,352,289,0,FALSE,FALSE,5574,TRUE,FALSE,FALSE,1644,2241,2176,60,5,0,0,4.968763945,1610886
116,558,93,0,FALSE,FALSE,4468,TRUE,FALSE,FALSE,1822,1279,1226,44,9,0,0,4.951524629,415524
117,24035,215,0,FALSE,FALSE,7,FALSE,FALSE,FALSE,28,3,3,0,0,0,0,5,1505
118,12939,242,0,FALSE,FALSE,63,FALSE,FALSE,FALSE,50,26,25,1,0,0,0,4.961538462,15246
119,328,344,3.3,FALSE,FALSE,1585,TRUE,FALSE,TRUE,1018,688,667,20,1,0,0,4.968023256,545240
120,5422,212,0,FALSE,FALSE,255,FALSE,FALSE,FALSE,143,112,105,6,1,0,0,4.928571429,54060
121,57,98,5.5,FALSE,FALSE,110,TRUE,FALSE,FALSE,26,29,27,1,1,0,0,4.896551724,10780
122,24035,215,0,FALSE,FALSE,7,FALSE,FALSE,FALSE,28,3,3,0,0,0,0,5,1505
123,7523,324,0,FALSE,FALSE,1,FALSE,FALSE,FALSE,23,1,0,1,0,0,0,4,324
124,29997,204,6.7,FALSE,FALSE,941,FALSE,FALSE,TRUE,451,376,335,25,12,1,3,4.829787234,191964
125,7783,64,4.9,FALSE,FALSE,847,FALSE,FALSE,TRUE,663,277,248,11,9,5,4,4.803636364,54208
126,1438,185,0,FALSE,FALSE,47,FALSE,FALSE,FALSE,35,15,12,1,2,0,0,4.666666667,8695
127,577,82,5.4,FALSE,FALSE,98,TRUE,TRUE,FALSE,82,35,33,1,1,0,0,4.914285714,8036
128,8,89,0,FALSE,FALSE,36,TRUE,FALSE,FALSE,4,13,13,0,0,0,0,5,3204
129,117,299,0,FALSE,FALSE,2,FALSE,FALSE,TRUE,4,1,1,0,0,0,0,5,598
130,1135,77,0,FALSE,FALSE,61,FALSE,FALSE,FALSE,63,26,25,1,0,0,0,4.961538462,4697
131,17,249,0,FALSE,FALSE,13,FALSE,FALSE,FALSE,6,6,6,0,0,0,0,5,3237
132,220,87,5.7,FALSE,FALSE,276,TRUE,FALSE,FALSE,99,106,102,3,1,0,0,4.952830189,24012
133,105,149,0,FALSE,FALSE,2362,TRUE,FALSE,FALSE,970,779,746,23,9,0,1,4.942233633,351938
134,219,93,0,FALSE,FALSE,14,FALSE,FALSE,FALSE,22,5,5,0,0,0,0,5,1302
135,60,99,0,FALSE,FALSE,308,TRUE,FALSE,TRUE,98,97,92,4,1,0,0,4.93814433,30492
136,20941,169,0,FALSE,FALSE,6,FALSE,FALSE,FALSE,15,6,6,0,0,0,0,5,1014
137,39064,423,0,FALSE,FALSE,30,FALSE,FALSE,TRUE,44,13,12,0,0,0,1,4.692307692,12690
138,18441,149,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,9,1,0,1,0,0,0,4,298
139,59,66,5.1,FALSE,FALSE,272,TRUE,FALSE,FALSE,57,67,63,4,0,0,0,4.940298507,17952
140,1088,133,0,TRUE,FALSE,4,TRUE,FALSE,TRUE,4,3,3,0,0,0,0,5,532
141,1438,198,6.5,FALSE,FALSE,13,TRUE,TRUE,TRUE,25,7,6,1,0,0,0,4.857142857,2574
142,5758,176,5.5,FALSE,FALSE,20,FALSE,FALSE,FALSE,17,9,9,0,0,0,0,5,3520
143,12481,197,0,FALSE,FALSE,39,FALSE,FALSE,TRUE,43,12,9,2,0,1,0,4.583333333,7683
144,58,139,5.3,FALSE,FALSE,25,TRUE,FALSE,FALSE,6,10,8,1,0,1,0,4.6,3475
145,7759,97,6.3,FALSE,FALSE,199,TRUE,TRUE,FALSE,260,70,64,5,0,0,1,4.871428571,19303
146,29767,89,7,FALSE,FALSE,764,FALSE,FALSE,TRUE,346,298,274,16,6,1,1,4.882550336,67996
147,2143,58,0,FALSE,FALSE,10779,TRUE,FALSE,FALSE,1749,3876,3648,169,44,6,10,4.918751612,625182
148,156,608,0,FALSE,FALSE,1,FALSE,FALSE,TRUE,8,0,0,0,0,0,0,0,608
149,65,110,3.9,FALSE,FALSE,181,TRUE,FALSE,FALSE,54,99,86,9,2,2,0,4.808080808,19910
150,3689,99,5.2,FALSE,FALSE,193,FALSE,FALSE,FALSE,102,76,65,5,4,1,1,4.736842105,19107
151,11149,108,6.5,FALSE,FALSE,13,TRUE,TRUE,FALSE,10,3,3,0,0,0,0,5,1404
152,5422,212,0,FALSE,FALSE,255,FALSE,FALSE,FALSE,143,112,105,6,1,0,0,4.928571429,54060
153,12451,47,0,FALSE,FALSE,187,FALSE,FALSE,TRUE,89,63,61,1,1,0,0,4.952380952,8789
154,49383,98,6.5,FALSE,FALSE,245,TRUE,TRUE,FALSE,249,91,84,3,2,0,2,4.835164835,24010
155,6252,62,3.2,FALSE,FALSE,447,FALSE,FALSE,FALSE,211,167,160,4,3,0,0,4.94011976,27714
156,105,323,5.8,FALSE,FALSE,1650,TRUE,FALSE,FALSE,1087,768,743,14,9,1,1,4.94921875,532950
157,6,89,0,FALSE,FALSE,109,TRUE,FALSE,TRUE,88,48,46,2,0,0,0,4.958333333,9701
158,58,139,5.3,FALSE,FALSE,185,TRUE,FALSE,FALSE,106,66,63,3,0,0,0,4.954545455,25715
159,53,155,4.8,FALSE,FALSE,2082,TRUE,FALSE,FALSE,756,1011,951,48,10,0,2,4.924752475,322710
160,25,300,0,FALSE,FALSE,117,FALSE,FALSE,FALSE,112,63,63,0,0,0,0,5,35100
161,1009,179,8,TRUE,FALSE,161,FALSE,FALSE,FALSE,147,71,67,2,1,0,1,4.887323944,28819
162,9791,88,7.2,FALSE,FALSE,36,FALSE,FALSE,TRUE,37,10,10,0,0,0,0,5,3168
163,415,195,0,FALSE,FALSE,13,FALSE,FALSE,TRUE,51,7,7,0,0,0,0,5,2535
164,1924,141,5,FALSE,FALSE,141,FALSE,FALSE,TRUE,85,47,42,3,2,0,0,4.85106383,19881
165,5075,140,0,FALSE,FALSE,4080,FALSE,FALSE,TRUE,828,1110,1098,11,1,0,0,4.988288288,571200
166,178,230,0,FALSE,FALSE,1198,FALSE,FALSE,TRUE,432,566,557,9,0,0,0,4.98409894,275540
167,8434,199,0,FALSE,FALSE,58,FALSE,FALSE,FALSE,110,24,20,4,0,0,0,4.833333333,11542
168,74994,18,4.2,FALSE,FALSE,6191,FALSE,FALSE,FALSE,618,1278,1191,60,21,3,3,4.903680501,111438
169,4954,168,6.5,FALSE,FALSE,10,FALSE,FALSE,FALSE,22,1,1,0,0,0,0,5,1680
170,1874,70,2,FALSE,FALSE,163,FALSE,FALSE,TRUE,58,28,26,2,0,0,0,4.928571429,11410
171,93761,128,0,FALSE,FALSE,27,FALSE,FALSE,TRUE,42,9,7,2,0,0,0,4.777777778,3456
172,5347,550,0,FALSE,FALSE,1,FALSE,FALSE,TRUE,4,0,0,0,0,0,0,0,550
173,10238,152,6.5,FALSE,FALSE,1021,FALSE,FALSE,FALSE,993,311,281,15,12,1,2,4.839228296,155192
174,158,270,0,FALSE,FALSE,755,FALSE,FALSE,FALSE,426,349,340,6,3,0,0,4.965616046,203850
175,9895,279,0,FALSE,FALSE,183,FALSE,FALSE,FALSE,409,77,70,3,2,0,2,4.805194805,51057
176,74,390,0,FALSE,FALSE,159,TRUE,FALSE,FALSE,209,76,74,2,0,0,0,4.973684211,62010
177,71,78,3.7,FALSE,FALSE,6,FALSE,FALSE,FALSE,5,4,4,0,0,0,0,5,468
178,294,525,0,FALSE,FALSE,893,TRUE,FALSE,TRUE,685,456,431,12,3,0,2,4.941964286,468825
179,4911,209,5.6,FALSE,FALSE,55,FALSE,FALSE,FALSE,140,31,29,2,0,0,0,4.935483871,11495
180,13,359,0,FALSE,FALSE,213,TRUE,FALSE,FALSE,271,114,112,2,0,0,0,4.98245614,76467
181,105,59,8.6,TRUE,FALSE,31,TRUE,FALSE,FALSE,4,11,10,1,0,0,0,4.909090909,1829
182,41897,69,0,FALSE,TRUE,6,FALSE,FALSE,FALSE,11,1,1,0,0,0,0,5,414
183,29997,204,6.7,FALSE,FALSE,942,FALSE,FALSE,TRUE,452,377,336,25,12,1,3,4.830238727,192168
184,556,68,4.5,FALSE,FALSE,9150,TRUE,FALSE,FALSE,1427,3574,3334,161,33,5,8,4.922003985,622200
185,4,85,4.8,TRUE,FALSE,65,TRUE,FALSE,FALSE,4,27,25,2,0,0,0,4.925925926,5525
186,8360,257,6,FALSE,FALSE,55,FALSE,FALSE,TRUE,32,20,19,0,1,0,0,4.9,14135
187,4,169,5.8,FALSE,FALSE,1034,FALSE,FALSE,FALSE,224,476,460,15,1,0,0,4.964285714,174746
188,7,159,0,FALSE,FALSE,58,FALSE,FALSE,FALSE,10,20,20,0,0,0,0,5,9222
189,2672,79,0,FALSE,FALSE,36,FALSE,FALSE,FALSE,31,12,11,1,0,0,0,4.916666667,2844
190,210,189,0,FALSE,FALSE,12,TRUE,FALSE,FALSE,21,7,6,1,0,0,0,4.857142857,2268
191,8,79,0,FALSE,FALSE,143,TRUE,FALSE,FALSE,24,60,57,3,0,0,0,4.95,11297
192,10,144,8.2,FALSE,FALSE,832,TRUE,FALSE,FALSE,204,324,314,7,2,1,0,4.956790123,119808
193,16,72,4.6,FALSE,FALSE,106,TRUE,FALSE,FALSE,22,40,36,4,0,0,0,4.9,7632
194,25943,102,0,FALSE,FALSE,19,FALSE,FALSE,FALSE,60,7,6,0,1,0,0,4.714285714,1938
195,8129,239,0,FALSE,FALSE,2358,FALSE,FALSE,FALSE,515,994,951,33,4,2,4,4.936619718,563562
196,998,299,0,FALSE,FALSE,202,FALSE,FALSE,FALSE,66,81,79,2,0,0,0,4.975308642,60398
197,26,199,5,FALSE,FALSE,2102,TRUE,FALSE,FALSE,915,947,909,27,10,1,0,4.94720169,418298
198,314,264,0,FALSE,FALSE,1259,TRUE,FALSE,FALSE,742,530,510,19,1,0,0,4.960377358,332376
199,2040,215,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,4,0,0,0,0,0,0,0,0
200,2626,93,0,FALSE,FALSE,19,FALSE,FALSE,FALSE,13,3,3,0,0,0,0,5,1767
201,5,215,0,FALSE,FALSE,190,FALSE,FALSE,FALSE,126,60,57,2,0,0,1,4.9,40850
202,57,139,5.3,FALSE,FALSE,28,TRUE,FALSE,FALSE,6,10,8,1,0,1,0,4.6,3892
