,商品ID,賣家ID,存貨數量,價格,折數,可否搭配購買,可否大量批貨購買,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,商家地點,評價數量,五星,四星,三星,二星,一星,評分
79,12656554280,17195431,8,159,,FALSE,FALSE,58,FALSE,FALSE,FALSE,10,臺中市沙鹿區,20,20,0,0,0,0,5
80,17031129203,339715595,42531,35,3.5,FALSE,FALSE,1033,FALSE,FALSE,FALSE,60,中國大陸,166,163,1,2,0,0,4.969879518
81,23907186557,6235224,1,168,8.4,TRUE,FALSE,17,TRUE,FALSE,FALSE,9,新北市汐止區,9,9,0,0,0,0,5
82,20352152026,10119136,673,139,5.8,TRUE,FALSE,739,FALSE,FALSE,TRUE,1220,新北市土城區,189,166,13,6,0,4,4.783068783
83,20864158436,821283913,6795,164,,FALSE,FALSE,2,FALSE,FALSE,FALSE,8,新北市新莊區,1,1,0,0,0,0,5
84,16774050448,778020444,27711,215,,FALSE,FALSE,267,FALSE,FALSE,TRUE,171,桃園市大園區,82,74,3,2,1,2,4.780487805
85,123627442,2833326,2840,85,4,FALSE,FALSE,11885,TRUE,FALSE,FALSE,2181,臺中市太平區,4300,3987,171,38,8,11,4.925213675
86,20137859418,778020444,16984,105,,FALSE,FALSE,18,FALSE,FALSE,TRUE,13,桃園市大園區,4,3,1,0,0,0,4.75
87,15159381531,17195431,5,129,,FALSE,FALSE,48,FALSE,FALSE,FALSE,19,臺中市沙鹿區,17,17,0,0,0,0,5
88,17183096271,778020444,12798,115,,FALSE,FALSE,71,FALSE,FALSE,TRUE,32,桃園市大園區,16,13,3,0,0,0,4.8125
89,19043125666,778020444,206993,196,,FALSE,FALSE,27,FALSE,FALSE,TRUE,35,桃園市大園區,10,8,1,0,0,1,4.5
90,15914555731,585625691,8893,159,5,FALSE,FALSE,31,FALSE,FALSE,TRUE,32,高雄市苓雅區,15,13,1,0,0,1,4.666666667
91,19643148782,778020444,55182,216,,FALSE,FALSE,109,FALSE,FALSE,TRUE,133,桃園市大園區,32,27,0,4,1,0,4.65625
92,13040663814,28956574,11427,64,7,FALSE,FALSE,554,FALSE,FALSE,TRUE,157,中國大陸,228,216,9,3,0,0,4.934210526
93,20137857359,778020444,10787,131,,FALSE,FALSE,165,FALSE,FALSE,TRUE,70,桃園市大園區,27,22,2,1,1,1,4.592592593
94,19866831930,778020444,607,484,,FALSE,FALSE,2,FALSE,FALSE,TRUE,28,桃園市大園區,1,1,0,0,0,0,5
95,869221519,12325503,226,189,,FALSE,FALSE,2474,TRUE,FALSE,FALSE,1367,桃園市蘆竹區,1203,1130,58,10,4,0,4.925124792
96,6857217923,158058939,20456,82,4.5,FALSE,FALSE,664,FALSE,FALSE,TRUE,97,中國大陸,153,145,7,1,0,0,4.941176471
97,14002475331,512304075,52,79,,FALSE,FALSE,334,TRUE,FALSE,TRUE,102,新北市泰山區,134,126,8,0,0,0,4.940298507
98,112511712,12325503,141,149,4.5,FALSE,FALSE,2803,TRUE,FALSE,FALSE,1027,桃園市蘆竹區,1411,1316,43,13,0,3,4.941090909
99,14992266362,52092724,11948,169,6.5,FALSE,FALSE,21,FALSE,FALSE,FALSE,21,中國大陸,8,8,0,0,0,0,5
100,20852533064,57697690,51,129,1.9,FALSE,FALSE,36,TRUE,FALSE,FALSE,5,桃園市桃園區,15,15,0,0,0,0,5
101,15493514629,823433725,45479,175,,FALSE,FALSE,1,TRUE,FALSE,FALSE,4,桃園市蘆竹區,1,1,0,0,0,0,5
102,14232403799,52092724,14062,93,6.2,FALSE,FALSE,867,FALSE,FALSE,FALSE,595,中國大陸,276,257,15,4,0,0,4.916666667
103,23805666529,12325503,504,99,5.4,FALSE,FALSE,258,TRUE,FALSE,FALSE,192,桃園市蘆竹區,92,89,1,2,0,0,4.945652174
104,3668550526,3160208,129,60,,FALSE,FALSE,585,TRUE,FALSE,FALSE,137,臺中市太平區,256,244,7,4,0,1,4.941176471
105,19866842070,778020444,1451,511,,FALSE,FALSE,1,FALSE,FALSE,TRUE,7,桃園市大園區,1,1,0,0,0,0,5
106,18652034613,3160208,49,69,7,FALSE,FALSE,850,TRUE,FALSE,FALSE,238,臺中市太平區,353,346,6,0,0,1,4.971671388
107,1002605899,16958040,23607,29,8.1,FALSE,FALSE,1133,FALSE,FALSE,TRUE,143,中國大陸,270,254,9,4,1,2,4.896296296
108,5758680232,9871310,6,250,,FALSE,FALSE,54,FALSE,FALSE,FALSE,40,臺南市永康區,32,30,2,0,0,0,4.9375
109,11898205656,57697690,64,99,1.7,FALSE,FALSE,22,TRUE,FALSE,FALSE,7,桃園市桃園區,11,9,2,0,0,0,4.818181818
110,13697360030,5607361,105,59,8.6,TRUE,FALSE,31,TRUE,FALSE,FALSE,4,新北市新莊區,11,10,1,0,0,0,4.909090909
111,17990361403,16958040,9706,56,,FALSE,FALSE,88,FALSE,FALSE,TRUE,29,中國大陸,29,28,1,0,0,0,4.965517241
112,21662977845,2495520,7995,327,5,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,桃園市大園區,0,0,0,0,0,0,0
113,16188231264,10119136,1788,432,,FALSE,FALSE,89,FALSE,FALSE,TRUE,60,新北市土城區,28,25,2,1,0,0,4.857142857
114,21153506468,7349697,9986,170,7,FALSE,FALSE,0,FALSE,FALSE,FALSE,2,桃園市蘆竹區,0,0,0,0,0,0,0
115,7055970808,128404466,352,289,,FALSE,FALSE,5574,TRUE,FALSE,FALSE,1644,彰化縣員林市,2241,2176,60,5,0,0,4.968763945
116,6261345403,6169347,558,93,,FALSE,FALSE,4468,TRUE,FALSE,FALSE,1822,桃園市平鎮區,1279,1226,44,9,0,0,4.951524629
117,18560899218,855712441,24035,215,,FALSE,FALSE,7,FALSE,FALSE,FALSE,28,桃園市蘆竹區,3,3,0,0,0,0,5
118,18849331914,6546803,12939,242,,FALSE,FALSE,63,FALSE,FALSE,FALSE,50,臺北市中正區,26,25,1,0,0,0,4.961538462
119,5967762556,61939449,328,344,3.3,FALSE,FALSE,1585,TRUE,FALSE,TRUE,1018,臺中市南區,688,667,20,1,0,0,4.968023256
120,18349332040,6546803,5422,212,,FALSE,FALSE,255,FALSE,FALSE,FALSE,143,臺北市中正區,112,105,6,1,0,0,4.928571429
121,20564793140,83803020,57,98,5.5,FALSE,FALSE,110,TRUE,FALSE,FALSE,26,高雄市左營區,29,27,1,1,0,0,4.896551724
122,18560899218,855712441,24035,215,,FALSE,FALSE,7,FALSE,FALSE,FALSE,28,桃園市蘆竹區,3,3,0,0,0,0,5
123,23103282780,730705378,7523,324,,FALSE,FALSE,1,FALSE,FALSE,FALSE,23,新北市土城區,1,0,1,0,0,0,4
124,12338959129,569043178,29997,204,6.7,FALSE,FALSE,941,FALSE,FALSE,TRUE,451,桃園市蘆竹區,376,335,25,12,1,3,4.829787234
125,6261218693,16958040,7783,64,4.9,FALSE,FALSE,847,FALSE,FALSE,TRUE,663,中國大陸,277,248,11,9,5,4,4.803636364
126,11061493858,531086497,1438,185,,FALSE,FALSE,47,FALSE,FALSE,FALSE,35,新北市新莊區,15,12,1,2,0,0,4.666666667
127,21550165794,276900214,577,82,5.4,FALSE,FALSE,98,TRUE,TRUE,FALSE,82,中國大陸,35,33,1,1,0,0,4.914285714
128,21058935018,512304075,8,89,,FALSE,FALSE,36,TRUE,FALSE,FALSE,4,新北市泰山區,13,13,0,0,0,0,5
129,21064664208,563025462,117,299,,FALSE,FALSE,2,FALSE,FALSE,TRUE,4,花蓮縣新城鄉,1,1,0,0,0,0,5
130,19023198695,9119846,1135,77,,FALSE,FALSE,61,FALSE,FALSE,FALSE,63,桃園市蘆竹區,26,25,1,0,0,0,4.961538462
